name,id
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
Dune Entertainment,444
Lightstorm Entertainment,574
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Second Mate Productions,19936
Columbia Pictures,5
Danjaq,10761
B24,69434
Legendary Pictures,923
Warner Bros.,6194
DC Entertainment,9993
Syncopy,9996
Walt Disney Pictures,2
Columbia Pictures,5
Laura Ziskin Productions,326
Marvel Enterprises,19551
Walt Disney Pictures,2
Walt Disney Animation Studios,6125
Marvel Studios,420
Prime Focus,15357
Revolution Sun Studios,76043
Warner Bros.,6194
Heyday Films,7364
DC Comics,429
Atlas Entertainment,507
Warner Bros.,6194
DC Entertainment,9993
Cruel & Unusual Films,9995
RatPac-Dune Entertainment,41624
DC Comics,429
Legendary Pictures,923
Warner Bros.,6194
Bad Hat Harry Productions,9168
Eon Productions,7576
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Second Mate Productions,19936
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Infinitum Nihil,2691
Silver Bullet Productions (II),37380
Blind Wink Productions,37381
Classic Media,37382
Legendary Pictures,923
Warner Bros.,6194
DC Entertainment,9993
Syncopy,9996
Cruel and Unusual Films,78685
Walt Disney,5888
Walden Media,10221
Stillking Films,11345
Ozumi Films,11440
Propeler,11441
Silverbell Films,11442
Revolution Sun Studios,76043
Paramount Pictures,4
Marvel Studios,420
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Moving Picture Company (MPC),20478
Amblin Entertainment,56
Media Magik Entertainment,5627
Imagenation Abu Dhabi FZ,6736
Hemisphere Media Capital,9169
Parkes/MacDonald Productions,11084
WingNut Films,11
New Line Cinema,12
Warner Bros. Pictures,174
3Foot7,7413
Metro-Goldwyn-Mayer (MGM),8411
Columbia Pictures,5
Laura Ziskin Productions,326
Marvel Entertainment,7505
Imagine Entertainment,23
Universal Pictures,33
Scott Free Productions,1645
Relativity Media,7295
WingNut Films,11
New Line Cinema,12
Warner Bros. Pictures,174
Metro-Goldwyn-Mayer (MGM),8411
New Line Cinema,12
Ingenious Film Partners,289
Depth of Field,1473
Scholastic Productions,1938
WingNut Films,11
Universal Pictures,33
Big Primate Pictures,68
MFPV Film,69
Paramount Pictures,4
Twentieth Century Fox Film Corporation,306
Lightstorm Entertainment,574
Studio Babelsberg,264
Marvel Studios,420
Walt Disney Studios Motion Pictures,3036
Vita-Ray Dutch Productions (III),84424
Deluxe Digital Studios,84425
Universal Pictures,33
Hasbro,2598
Bluegrass Films,13778
Film 44,20153
Universal Studios,13
Amblin Entertainment,56
Legendary Pictures,923
Fuji Television Network,3341
Dentsu,6452
Columbia Pictures,5
Columbia Pictures,5
Laura Ziskin Productions,326
Marvel Enterprises,19551
Marvel Studios,420
Walt Disney Pictures,2
Team Todd,598
Tim Burton Productions,8601
Roth Films,16314
"Zanuck Company, The",20004
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Dune Entertainment,444
Major Studio Partners,445
Bad Hat Harry Productions,9168
thinkfilm,12247
Marvel Enterprises,19551
X3 Canada Productions,79028
X3US Productions,79029
XM3 Service,79030
Walt Disney Pictures,2
Pixar Animation Studios,3
Paramount Pictures,4
DreamWorks SKG,27
Amblin Entertainment,56
Di Bonaventura Pictures,435
Platinum Dunes,2481
Hasbro Studios,22826
Revolution Sun Studios,76043
Paramount Pictures,4
Amblin Entertainment,56
Di Bonaventura Pictures,435
Platinum Dunes,2481
China Movie Channel,11413
Hasbro Studios,22826
Ian Bryce Productions,38833
Revolution Sun Studios,76043
Walt Disney Pictures,2
Roth Films,16314
Columbia Pictures,5
Marvel Enterprises,19551
Avi Arad Productions,31828
Matt Tolmach Productions,53462
Walt Disney Pictures,2
LivePlanet,7161
Prana Studios,18713
Sean Bailey Productions,23791
Revolution Sun Studios,76043
Kontsept Film Company,76067
Walt Disney Pictures,2
Pixar Animation Studios,3
De Line Pictures,2609
Warner Bros.,6194
DC Entertainment,9993
Walt Disney Pictures,2
Pixar Animation Studios,3
Columbia Pictures,5
The Halcyon Company,4021
Wonderland Sound and Vision,4022
Warner Bros.,6194
Universal Pictures,33
Original Film,333
Fuji Television Network,3341
Dentsu,6452
One Race Films,7154
China Film Co.,40890
Québec Production Services Tax Credit,86352
Media Rights Capital (MRC),86655
Abu Dhabi Film Commission,87857
"Colorado Office of Film, Television & Media",87858
Paramount Pictures,4
GK Films,3281
Skydance Productions,6277
Hemisphere Media Capital,9169
Apparatus Productions,11956
Latina Pictures,19108
2DUX²,23644
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Marvel Entertainment,7505
Bad Hat Harry Productions,9168
TSG Entertainment,22213
Down Productions,37336
Revolution Sun Studios,76043
Paramount Pictures,4
Skydance Productions,6277
Bad Robot,11461
Kurtzman/Orci,12536
New Line Cinema,12
Original Film,333
Legendary Pictures,923
Warner Bros.,6194
Big Kid Pictures,8406
Bad Hat Harry Productions,9168
Village Roadshow Pictures,79
Bazmark Films,240
Warner Bros.,6194
A&E Television Networks,11858
Red Wagon Entertainment,14440
Spectrum Films,14604
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Legendary Pictures,923
Warner Bros.,6194
Disney Double Dare You (DDY),19750
Indochina Productions,19751
Paramount Pictures,4
Di Bonaventura Pictures,435
Indochina Productions,19751
Hasbro Studios,22826
Lucasfilm,1
Paramount Pictures,4
Walt Disney Pictures,2
Pixar Animation Studios,3
Walt Disney Pictures,2
Pixar Animation Studios,3
Paramount Pictures,4
Bad Robot,11461
Perfect Storm Entertainment,34530
Alibaba Pictures Group,69484
Skydance Media,82819
Sneaky Shark,83644
Huahua Media,83645
