iso_639_1,name
en,English
es,Español
en,English
fr,Français
en,English
es,Español
it,Italiano
de,Deutsch
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
fr,Français
de,Deutsch
en,English
es,Español
it,Italiano
fr,Français
de,Deutsch
en,English
tr,Türkçe
el,????????
zh,???
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
th,???????
en,English
is,Íslenska
en,English
ru,P??????
fr,Français
en,English
en,English
fr,Français
de,Deutsch
sv,svenska
it,Italiano
ru,P??????
ro,Român?
en,English
de,Deutsch
ru,P??????
en,English
th,???????
en,English
en,English
en,English
ru,P??????
zh,???
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
ja,???
it,Italiano
fr,Français
en,English
en,English
es,Español
en,English
it,Italiano
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
ru,P??????
en,English
en,English
en,English
en,English
la,Latin
en,English
fr,Français
ja,???
zh,???
en,English
fr,Français
hi,??????
it,Italiano
la,Latin
zh,???
pt,Português
ru,P??????
bo,
en,English
en,English
en,English
en,English
de,Deutsch
en,English
en,English
zh,???
en,English
en,English
en,English
fa,?????
ur,????
ar,???????
en,English
en,English
en,English
zh,???
sa,
en,English
en,English
en,English
en,English
de,Deutsch
es,Español
en,English
fr,Français
gd,
en,English
en,English
en,English
ru,P??????
fr,Français
en,English
en,English
en,English
en,English
en,English
ja,???
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
ja,???
fr,Français
it,Italiano
de,Deutsch
en,English
ja,???
en,English
en,English
en,English
de,Deutsch
en,English
es,Español
fr,Français
ru,P??????
en,English
en,English
en,English
es,Español
en,English
fr,Français
en,English
en,English
en,English
fr,Français
en,English
ja,???
es,Español
en,English
en,English
en,English
en,English
fr,Français
en,English
ja,???
en,English
en,English
en,English
en,English
ur,????
zh,???
en,English
it,Italiano
th,???????
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
it,Italiano
la,Latin
fr,Français
de,Deutsch
zh,???
en,English
en,English
en,English
en,English
en,English
de,Deutsch
en,English
sv,svenska
en,English
en,English
en,English
en,English
de,Deutsch
en,English
it,Italiano
zh,???
cs,?eskı
cn,??? / ???
en,English
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
th,???????
en,English
ko,???/???
cn,??? / ???
de,Deutsch
es,Español
is,Íslenska
it,Italiano
en,English
en,English
ru,P??????
en,English
en,English
en,English
en,English
ru,P??????
fr,Français
ar,???????
sv,svenska
fr,Français
en,English
en,English
en,English
ja,???
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
ko,???/???
ru,P??????
es,Español
en,English
en,English
cn,??? / ???
zh,???
en,English
es,Español
en,English
en,English
fr,Français
ar,???????
en,English
fr,Français
no,Norsk
en,English
en,English
ru,P??????
fr,Français
pt,Português
en,English
en,English
en,English
pt,Português
es,Español
en,English
en,English
en,English
fr,Français
en,English
en,English
en,English
en,English
fr,Français
ar,???????
ru,P??????
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
es,Español
en,English
en,English
ru,P??????
ko,???/???
en,English
en,English
en,English
en,English
ja,???
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
la,Latin
es,Español
en,English
pt,Português
en,English
de,Deutsch
it,Italiano
en,English
es,Español
pt,Português
it,Italiano
en,English
en,English
en,English
en,English
no,Norsk
en,English
ru,P??????
en,English
en,English
en,English
ja,???
fr,Français
ar,???????
es,Español
en,English
en,English
en,English
ja,???
ar,???????
zh,???
zh,???
en,English
fr,Français
hi,??????
ja,???
ta,?????
en,English
en,English
en,English
zh,???
es,Español
gd,
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
de,Deutsch
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
pt,Português
en,English
ja,???
nv,
en,English
en,English
en,English
en,English
en,English
en,English
en,English
it,Italiano
he,????????
en,English
de,Deutsch
en,English
da,Dansk
zh,???
cn,??? / ???
en,English
fr,Français
it,Italiano
nl,Nederlands
zh,???
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
zh,???
en,English
en,English
zh,???
en,English
en,English
en,English
en,English
en,English
pt,Português
en,English
en,English
it,Italiano
fr,Français
en,English
de,Deutsch
en,English
fr,Français
hi,??????
tr,Türkçe
cn,??? / ???
en,English
en,English
en,English
ar,???????
en,English
it,Italiano
la,Latin
en,English
fr,Français
en,English
en,English
zh,???
en,English
en,English
en,English
en,English
en,English
sv,svenska
en,English
en,English
fr,Français
en,English
en,English
es,Español
en,English
en,English
en,English
fr,Français
ar,???????
de,Deutsch
en,English
en,English
en,English
en,English
en,English
fr,Français
de,Deutsch
la,Latin
en,English
en,English
en,English
la,Latin
en,English
es,Español
en,English
en,English
en,English
en,English
fr,Français
it,Italiano
ru,P??????
es,Español
en,English
it,Italiano
la,Latin
af,Afrikaans
en,English
fr,Français
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
ar,???????
en,English
en,English
en,English
ar,???????
en,English
ga,Gaeilge
la,Latin
zh,???
zh,???
ja,???
en,English
en,English
en,English
en,English
so,Somali
en,English
en,English
sv,svenska
de,Deutsch
en,English
ar,???????
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
en,English
es,Español
en,English
en,English
en,English
ru,P??????
en,English
es,Español
fr,Français
en,English
en,English
la,Latin
en,English
en,English
es,Español
en,English
en,English
cn,??? / ???
en,English
zh,???
en,English
en,English
en,English
en,English
en,English
de,Deutsch
fi,suomi
ja,???
cn,??? / ???
en,English
cn,??? / ???
en,English
zh,???
en,English
zh,???
en,English
en,English
de,Deutsch
ro,Român?
en,English
fr,Français
en,English
en,English
fr,Français
es,Español
en,English
en,English
de,Deutsch
en,English
he,????????
en,English
en,English
en,English
en,English
en,English
en,English
fr,Français
pt,Português
en,English
en,English
zh,???
zh,???
en,English
en,English
ru,P??????
cn,??? / ???
en,English
de,Deutsch
ar,???????
fr,Français
en,English
en,English
pt,Português
en,English
de,Deutsch
es,Español
en,English
en,English
en,English
en,English
en,English
da,Dansk
en,English
en,English
en,English
ru,P??????
en,English
en,English
en,English
ru,P??????
de,Deutsch
it,Italiano
