name,id,idMovie
Ingenious Film Partners,289,19995
Twentieth Century Fox Film Corporation,306,19995
Dune Entertainment,444,19995
Lightstorm Entertainment,574,19995
Walt Disney Pictures,2,285
Jerry Bruckheimer Films,130,285
Second Mate Productions,19936,285
Columbia Pictures,5,206647
Danjaq,10761,206647
B24,69434,206647
Legendary Pictures,923,49026
Warner Bros.,6194,49026
DC Entertainment,9993,49026
Syncopy,9996,49026
Walt Disney Pictures,2,49529
Columbia Pictures,5,559
Laura Ziskin Productions,326,559
Marvel Enterprises,19551,559
Walt Disney Pictures,2,38757
Walt Disney Animation Studios,6125,38757
Marvel Studios,420,99861
Prime Focus,15357,99861
Revolution Sun Studios,76043,99861
Warner Bros.,6194,767
Heyday Films,7364,767
DC Comics,429,209112
Atlas Entertainment,507,209112
Warner Bros.,6194,209112
DC Entertainment,9993,209112
Cruel & Unusual Films,9995,209112
RatPac-Dune Entertainment,41624,209112
DC Comics,429,1452
Legendary Pictures,923,1452
Warner Bros.,6194,1452
Bad Hat Harry Productions,9168,1452
Eon Productions,7576,10764
Walt Disney Pictures,2,58
Jerry Bruckheimer Films,130,58
Second Mate Productions,19936,58
Walt Disney Pictures,2,57201
Jerry Bruckheimer Films,130,57201
Infinitum Nihil,2691,57201
Silver Bullet Productions (II),37380,57201
Blind Wink Productions,37381,57201
Classic Media,37382,57201
Legendary Pictures,923,49521
Warner Bros.,6194,49521
DC Entertainment,9993,49521
Syncopy,9996,49521
Cruel and Unusual Films,78685,49521
Walt Disney,5888,2454
Walden Media,10221,2454
Stillking Films,11345,2454
Ozumi Films,11440,2454
Propeler,11441,2454
Silverbell Films,11442,2454
Revolution Sun Studios,76043,2454
Paramount Pictures,4,24428
Marvel Studios,420,24428
Walt Disney Pictures,2,1865
Jerry Bruckheimer Films,130,1865
Moving Picture Company (MPC),20478,1865
Amblin Entertainment,56,41154
Media Magik Entertainment,5627,41154
Imagenation Abu Dhabi FZ,6736,41154
Hemisphere Media Capital,9169,41154
Parkes/MacDonald Productions,11084,41154
WingNut Films,11,122917
New Line Cinema,12,122917
Warner Bros. Pictures,174,122917
3Foot7,7413,122917
Metro-Goldwyn-Mayer (MGM),8411,122917
Columbia Pictures,5,1930
Laura Ziskin Productions,326,1930
Marvel Entertainment,7505,1930
Imagine Entertainment,23,20662
Universal Pictures,33,20662
Scott Free Productions,1645,20662
Relativity Media,7295,20662
WingNut Films,11,57158
New Line Cinema,12,57158
Warner Bros. Pictures,174,57158
Metro-Goldwyn-Mayer (MGM),8411,57158
New Line Cinema,12,2268
Ingenious Film Partners,289,2268
